manufacturer code number (HSN),type code number (TSN),manufacturer plaintext,make (Trade name of the manufacturer),commercial name,date of allotment of type code number,vehicle category,code for bodywork,code for the fuel or power source,max. net power in kW,engine capacity in cm 3,max. number of axles,max. number of powered axles,max. number of seats (including driver seat),technically permissible maximum mass in kg
0005,155,BMW,,645CI,01.07.2003,01,0200,01,245,4398,2,1,4,2070
0005,156,BMW,,645CI,01.10.2003,01,0100,01,245,4398,2,1,4,2250
0005,163,BMW,,116I,01.04.2004,01,0200,01,85,1596,2,1,5,1705
0005,164,BMW,,118D,01.04.2004,01,0200,02,90,1995,2,1,5,1810
0005,165,BMW,,118I,01.10.2004,01,0200,01,95,1995,2,1,5,1835
0005,166,BMW,,120I,01.04.2004,01,0200,01,110,1995,2,1,5,1775
0005,167,BMW,,120D,01.04.2004,01,0200,02,120,1995,2,1,5,1850
0005,173,BMW,,118D,01.04.2004,01,0200,02,89,1995,2,1,5,1810
0005,174,BMW,,530XI,01.01.2005,01,0200,01,190,2996,2,2,5,2225
0005,175,BMW,,530XI,01.01.2005,01,0200,01,190,2996,2,2,5,2340
0005,176,BMW,,525XI,01.01.2005,01,0200,01,160,2497,2,2,5,2225
0005,177,BMW,,525XI,01.01.2005,01,0200,01,160,2497,2,2,5,2340
0005,182,BMW,,120I,01.08.2005,01,0200,01,110,1995,2,1,5,1835
0005,300,BMW,,340,01.11.1949,01,,01,40,1971,2,1,5,1700
0005,301,BMW,,BMW ISETTA 250,01.04.1955,01,,01,9,295,2,1,2,600
0005,302,BMW,,BMW 600,01.12.1957,01,,01,15,582,2,1,4,900
0005,303,BMW,,BMW 700,01.09.1959,01,,01,24,692,2,1,3,860
0005,304,BMW,,BMW 700,01.09.1959,01,,01,22,692,2,1,4,960
0005,307,BMW,,GOGGOMOBIL T 250,01.03.1968,01,,01,10,245,2,1,4,720
0005,309,BMW,,BMW ISETTA 300,01.05.1958,01,,01,10,295,2,1,2,600
0005,310,BMW,,BMW 700 S,01.07.1960,01,,01,29,692,2,1,3,860
0005,311,BMW,,BMW 700 CS,01.08.1964,01,,01,29,692,2,1,4,1050
0005,312,BMW,,BMW 700 A,01.01.1962,01,,01,24,692,2,1,4,1050
0005,314,BMW,,C/CA,01.10.1965,01,,01,74,1977,2,1,5,1580
0005,315,BMW,,CS,01.10.1965,01,,01,88,1977,2,1,5,1580
0005,317,BMW,,BMW 1500,01.10.1962,01,,01,59,1489,2,1,5,1450
0005,318,BMW,,BMW 1800,01.08.1963,01,,01,66,1761,2,1,5,1470
0005,319,BMW,,BMW 1500,01.09.1963,01,,01,59,1563,2,1,5,1450
0005,320,BMW,,GOGGO.COUPE TS 250,01.03.1968,01,,01,10,245,2,1,3,720
0005,321,BMW,,BMW 1800 TI,01.10.1963,01,,01,81,1761,2,1,5,1440
0005,322,BMW,,BMW 1600,01.04.1964,01,,01,61,1563,2,1,5,1450
0005,323,BMW,,TISA,01.10.1963,01,,01,96,1761,2,1,5,1440
0005,324,BMW,,1602,01.04.1966,01,0200,01,63,1563,2,1,5,1340
0005,326,BMW,,BMW 1600 GT,01.10.1967,01,,01,77,1563,2,1,4,1330
0005,327,BMW,,BMW 2.1,01.12.1958,01,,01,53,2077,2,1,6,1900
0005,328,BMW,,BMW 3.2 SUPER,01.11.1958,01,,01,103,3146,2,1,6,2000
0005,329,BMW,,BMW 2600,01.09.1961,01,,01,81,2562,2,1,6,1900
0005,330,BMW,,BMW 3200 L,01.09.1961,01,,01,103,3146,2,1,6,1900
0005,331,BMW,,BMW 3200 S,01.09.1961,01,,01,118,3146,2,1,6,2000
0005,332,BMW,,BMW 2002 TI,01.06.1968,01,,01,88,1977,2,1,5,1350
0005,333,BMW,,BMW 602,01.01.1968,01,,01,118,2962,2,1,5,1800
0005,334,BMW,,BMW 602,01.01.1968,01,,01,110,2562,2,1,5,1800
0005,335,BMW,,BMW 3200 CS,01.07.1962,01,,01,118,3146,2,1,5,1900
0005,336,BMW,,BMW 2000,01.01.1966,01,,01,74,1977,2,1,5,1550
0005,337,BMW,,TILUX,01.01.1966,01,,01,88,1977,2,1,5,1560
0005,338,BMW,,BMW 1600 TI,01.09.1967,01,,01,77,1563,2,1,5,1335
0005,345,BMW,,BMW 501,01.07.1952,01,,01,53,2562,2,1,6,1900
0005,346,BMW,,BMW 502 F,01.09.1954,01,,01,74,3146,2,1,6,1900
0005,347,BMW,,BMW 502,01.09.1954,01,,01,88,3146,2,1,,1900
0005,348,BMW,,BMW 2.6,01.10.1958,01,,01,81,2562,2,1,6,1900
0005,349,BMW,,BMW 3.2,01.10.1958,01,,01,88,3146,2,1,6,1900
0005,350,BMW,,BMW 503,01.01.1957,01,,01,103,3146,2,1,4,1800
0005,351,BMW,,BMW 507,01.10.1957,01,,01,110,3146,2,1,2,1500
0005,352,BMW,,BMW 2000,01.01.1970,01,,01,66,1754,2,1,5,1550
0005,354,BMW,,BMW 2002,01.12.1967,01,0200,01,74,1977,2,1,5,1410
0005,355,BMW,,CABRIOLET,01.12.1967,01,,01,63,1563,2,1,4,1340
0005,356,BMW,,BMW 1800,01.07.1969,01,,01,66,1754,2,1,5,1500
0005,357,BMW,,BMW 2500,01.10.1968,01,0200,01,110,2478,2,1,5,1830
0005,358,BMW,,BMW 2800,01.01.1969,01,0200,01,125,2769,2,1,5,1830
0005,359,BMW,,BMW 2800 CS,01.01.1969,01,,01,125,2769,2,1,4,1710
0005,360,BMW,,TII,01.12.1969,01,,01,96,1977,2,1,5,1560
0005,361,BMW,,BMW 2002 TII,01.01.1971,01,0200,01,96,1977,2,1,5,1440
0005,362,BMW,,CABRIOLET,01.01.1971,01,0100,01,74,1977,2,1,4,1410
0005,363,BMW,,CSL,01.03.1971,01,0200,01,132,2966,2,1,4,1770
0005,364,BMW,,"CSI,CSL",01.03.1971,01,0200,01,147,2966,2,1,4,1770
0005,365,BMW,,BMW 1802,01.03.1971,01,0200,01,66,1754,2,1,5,1400
0005,366,BMW,,1602,01.03.1971,01,0200,01,63,1563,2,1,4,1450
0005,367,BMW,,1802,01.03.1971,01,0200,01,66,1754,2,1,4,1450
0005,368,BMW,,2002,01.03.1971,01,0200,01,74,1977,2,1,4,1450
0005,369,BMW,,2002 TII,01.03.1971,01,0200,01,96,1977,2,1,4,1450
0005,370,BMW,,3.0 S,01.05.1971,01,0200,01,132,2966,2,1,5,1900
0005,371,BMW,,3.0 SI,01.05.1971,01,0200,01,147,2966,2,1,5,1870
0005,372,BMW,,BMW 1602,01.03.1972,01,0200,01,63,1563,2,1,5,1390
0005,373,BMW,,BMW 520,01.08.1972,01,0200,01,85,1977,2,1,5,1700
0005,374,BMW,,I,01.08.1972,01,0200,01,96,1977,2,1,5,1700
0005,375,BMW,,BMW 525,01.09.1973,01,0200,01,107,2478,2,1,5,1810
0005,377,BMW,,BMW 2002 TURBO,01.01.1974,01,0200,01,125,1977,2,1,4,1440
0005,378,BMW,,BMW 3.3 L,01.03.1974,01,0200,01,140,3277,2,1,5,1980
0005,379,BMW,,518,01.06.1974,01,0200,01,66,1754,2,1,5,1700
0005,380,BMW,,BMW 3.0 CS,01.07.1974,01,0200,01,110,2478,2,1,4,1770
0005,381,BMW,,BMW 1502,01.01.1975,01,0200,01,55,1563,2,1,5,1380
0005,382,BMW,,BMW 528,01.02.1975,01,0200,01,121,2769,2,1,5,1840
0005,383,BMW,,2.8 L,01.03.1975,01,0200,01,125,2769,2,1,5,1900
0005,384,BMW,,BMW 3.0 L,01.03.1975,01,0200,01,132,2966,2,1,5,1900
0005,385,BMW,,316,01.06.1975,01,0200,01,66,1563,2,1,5,1440
0005,386,BMW,,318,01.06.1975,01,0200,01,72,1754,2,1,5,1440
0005,387,BMW,,320,01.06.1975,01,0200,01,80,1977,2,1,5,1440
0005,388,BMW,,320I,01.09.1975,01,0200,01,92,1977,2,1,5,1460
0005,389,BMW,,LI,01.09.1975,01,0200,01,147,3188,2,1,5,1980
0005,390,BMW,,3.0 SI,01.10.1975,01,0200,01,143,2966,2,1,5,1900
0005,391,BMW,,I,01.10.1975,01,0200,01,92,1977,2,1,5,1700
0005,392,BMW,,630 CS,01.02.1976,01,0200,01,136,2966,2,1,4,1830
0005,393,BMW,,633 CSI,01.02.1976,01,0200,01,147,3188,2,1,4,1830
0005,394,BMW,,BMW 525,01.07.1976,01,0200,01,110,2478,2,1,5,1810
0005,395,BMW,,BMW 528,01.07.1976,01,0200,01,125,2769,2,1,5,1840
0005,396,BMW,,725I,01.02.1977,01,0200,01,110,2478,2,1,5,2040
0005,397,BMW,,728,01.02.1977,01,0200,01,125,2769,2,1,5,2000
0005,398,BMW,,730,01.02.1977,01,0200,01,135,2966,2,1,5,2050
0005,399,BMW,,732I,01.02.1977,01,0200,01,145,3188,2,1,5,2070
0005,400,BMW,,518,01.08.1977,01,0200,01,66,1754,2,1,5,1700
0005,401,BMW,,520,01.08.1977,01,0200,01,90,1977,2,1,5,1770
0005,402,BMW,,525I,01.08.1977,01,0200,01,110,2478,2,1,5,1810
0005,403,BMW,,528I,01.08.1977,01,0200,01,130,2769,2,1,5,1870
0005,404,BMW,,320,01.09.1977,01,0200,01,90,1977,2,1,5,1550
0005,405,BMW,,323I,01.01.1978,01,0200,01,105,2291,2,1,5,1570
